dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Scoringtime
Dpname,625,4,3,-1,-1,Overlap,5,100,-1,0.3648,0.00598930700376596,0.004848189175840919,0.0027890773663262155,0.005485580646901641,-0.009726523745548322,0.5258051282051283,0.4333827023357709,0.3350868403473614,0.00279752000000002,-1,0.03207239999999967|0.008893099999999876|0.0009366000000001762|0.005002099999999565|0.002008099999999402|0.7285028999999996|0.018803000000000125|
Dpname,625,4,3,-1,-1,Overlap,5,100,-100,0.344,0.0010546846680071723,-0.0017108428819435383,-0.0021615730844040076,0.0009660148117470007,-0.009548527362316614,0.5226717948717948,0.42868160853938825,0.331508254604447,0.0014397400000000006,-1,0.015167600000000059|0.0032562000000000424|0.0007572999999998498|0.002602199999999888|0.0012982999999999745|0.6816158999999999|0.017922399999999783|
Dpname,625,4,3,-1,-1,Overlap,5,100,-100,0.368,0.004506773020485369,0.0024491143227900235,0.001295482463061197,0.0041341761125827025,-0.009554853696864705,0.5243076923076923,0.43165115139637433,0.3362916308808092,0.0016242400000000324,-1,0.014718699999999973|0.0023983000000000754|0.0007848999999999773|0.0023980999999999586|0.0011816000000000049|0.7139021000000001|0.018436499999999967|
Dpname,47,21,4,-1,-1,Overlap,5,100,-100,0.3617021276595745,0.06510172919952385,-0.003401131073822223,-0.016297311930688695,0.06443846940493153,-0.07415420842003648,0.6308973172987974,0.24803149606299213,0.23247232472324722,0.0006261400000000083,-1,0.0031603000000000048|0.0019318999999999864|0.0006494000000001332|0.001902700000000035|0.0010486999999999025|0.014253800000000094|0.0022688000000001818|
Dpname,47,21,4,-1,-1,Overlap,5,100,2,0.48936170212765956,0.7339440489246026,0.5921289710763395,0.7074159278232673,0.7860662979673969,0.3300507992674731,0.8270120259019427,0.6117021276595744,0.8487084870848709,0.0013440199999999792,-1,0.0016704000000000718|0.0018408000000000868|0.0006954000000001237|0.0021493000000001317|0.0010293000000001218|0.013664699999999863|0.002834000000000003|
Dpname,47,21,4,-1,-1,Overlap,5,100,6,0.7446808510638298,0.682280727518391,0.5390127794490515,0.6545032975951197,0.6766267051992456,0.2646600117277891,0.8297872340425532,0.669260700389105,0.6346863468634686,0.0018811600000000262,-1,0.0032091000000000758|0.0019260999999999306|0.0006614999999998705|0.0018796000000000923|0.0010285000000000988|0.015138300000000049|0.0024950999999999723|
Dpname,47,21,4,-1,-1,Overlap,5,100,3,0.574468085106383,0.7544470700294048,0.6041542494964959,0.7300453422306187,0.8407866579378447,0.3069172965098776,0.8260869565217391,0.6014669926650367,0.9077490774907749,0.0013508999999999993,-1,0.0019100000000000783|0.002203799999999978|0.00079309999999988|0.004734299999999969|0.0013061000000000877|0.016514499999999988|0.0025844999999999896|
