dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Time_lsh,Scoringtime
Balance-scale,625,4,3,-1,-1,Overlap,5,100,1,0.3472,0.0280211272746974,0.019324048915449598,0.02479428621073046,0.026313925258090363,0.0759393527999011,0.5272666666666667,0.4424299245818914,0.3827774596812673,0.07314656,0.005832600000000188,0.005832600000000188,0.01711150000000039|0.0024239999999999817|0.0007920999999999623|0.002814700000000059|0.0025198999999997973|0.7257201000000002|0.018295699999999915|
Syn_512_8_8_8_10,512,8,8,-1,-1,Overlap,5,100,2,0.998046875,0.9951544980798708,0.995509191601205,0.9950368771112639,0.995161800854713,0.5074153719916545,0.99902917074364,0.9960319920639841,0.99609375,0.22006184000000006,0.02132920000000027,0.02132920000000027,0.08029360000000008|0.0020894999999998554|0.0007871999999999879|0.004676700000000089|0.0011848999999997112|0.7621718|0.07502589999999998|
Syn_512_8_8_8_10,512,8,8,-1,-1,Overlap,5,100,2,0.86328125,0.8753024142555174,0.8116859280146688,0.8721349297564117,0.8964460749068562,0.3831599257653844,0.9568095645792564,0.7844808861859253,0.8957713293650794,0.23712454000000002,0.020881199999999822,0.020881199999999822,0.07397259999999983|0.0021230999999999334|0.000780299999999734|0.0042423999999998685|0.0012407999999997088|0.7660266|0.0748761|
Syn_4096_8_8_8_10,4096,8,8,-1,-1,Overlap,5,100,2,0.7802734375,0.875954206842798,0.8167214988651169,0.8755786726485796,0.9028111007465963,0.41450811802834775,0.9573276766636142,0.7851711058106406,0.9058974055161448,1.98240926,0.06483370000000033,0.06483370000000033,0.6136728999999974|0.0038197000000010917|0.0015555999999996573|0.01406560000000212|0.00219900000000095|67.0976592|0.6197036999999881|
