dbname,n,d,k,range,sigma_ratio,Measure,n_init,n_iter,iter,Purity,NMI,ARI,AMI,Homogeneity,Silhouette,Accuracy,Precision,Recall,Time,LSH_time,Score,Scoringtime
Dpname,512,8,8,-1,-1,None,5,100,2,0.998046875,0.9951544980798708,0.995509191601205,0.9950368771112639,0.995161800854713,0.5074153719916545,0.99902917074364,0.9960319920639841,0.99609375,0.05870320000685751,-1,886.0,0.007859700010158122|0.007612599991261959|0.0007142999675124884|0.0036540000000968575|0.0007496000034734607|0.29223190003540367|0.003712100035045296|
Dpname,512,8,8,-1,-1,None,5,100,3,0.99609375,0.9903089250439306,0.9910186224760044,0.9900736789644582,0.9903089250439306,0.5074153719916545,0.9980583414872799,0.9921259842519685,0.9921259842519685,0.05851413999916986,-1,886.0,0.007854499970562756|0.0012195000308565795|0.0005488000460900366|0.0024507000343874097|0.0012966000358574092|0.3055162000237033|0.003584600053727627|
Dpname,1024,20,8,-1,-1,None,5,100,2,1.0,1.0,1.0,1.0,1.0,0.5393496987389322,1.0,1.0,1.0,0.14941512000514195,-1,4379.0,0.01586619997397065|0.001417800027411431|0.0005737000028602779|0.003151700017042458|0.0007798000006005168|2.1234686000389047|0.005402699986007065|
Dpname,1024,20,8,-1,-1,None,5,100,2,0.9990234375,0.9972517266103855,0.9977612723624638,0.9972192868647919,0.997249897151823,0.5393496987389322,0.999513150659824,0.998046875,0.9980315263360247,0.15462887999601663,-1,4379.0,0.015532999997958541|0.0014438999933190644|0.0005877999938093126|0.0031831000233069062|0.0007946999976411462|2.1873834999860264|0.005492099968250841|
Dpname,1024,20,8,-1,-1,None,5,100,2,0.9990234375,0.9972517266103857,0.9977612723624638,0.9972192868647919,0.997249897151823,0.5393496987389322,0.999513150659824,0.998046875,0.9980315263360247,0.15162657999899237,-1,4379.0,0.01677919999929145|0.0017175999819301069|0.0007536000339314342|0.003875099995639175|0.0008086999878287315|2.146418199990876|0.005454599973745644|
Dpname,1024,20,8,-1,-1,None,5,100,3,0.865234375,0.8864727985939198,0.8140727491198867,0.8850588711940083,0.9129257848913765,0.3958579680819579,0.9567830522971652,0.7808818267357568,0.9061591695501731,0.18338814000599085,-1,5615.0,0.01574080000864342|0.001541999983601272|0.00059120001969859|0.0029219999560154974|0.0008018999942578375|2.1620787999709137|0.005322500015608966|
Dpname,1024,20,8,-1,-1,None,5,100,2,0.998046875,0.9945052877244078,0.9955313240489965,0.994440429887118,0.9945034633041879,0.5393496987389322,0.9990282105327468,0.99609375,0.996078431372549,0.14617110000690445,-1,4379.0,0.015677399991545826|0.001435500045772642|0.0005917000235058367|0.003245999978389591|0.0008877000072970986|2.162967899988871|0.005620999960228801|
Dpname,1024,20,8,-1,-1,None,5,100,3,0.998046875,0.9945052877244078,0.9955313240489965,0.994440429887118,0.9945034633041879,0.5393496987389322,0.9990282105327468,0.99609375,0.996078431372549,0.16817344001028686,-1,4379.0,0.015768099983688444|0.001680399989709258|0.0005940999835729599|0.0031946999952197075|0.0008055999642238021|2.310400100017432|0.005850100016687065|
Dpname,1024,20,8,-1,-1,None,5,100,2,0.998046875,0.9945052877244078,0.9955313240489965,0.994440429887118,0.9945034633041879,0.5393496987389322,0.9990282105327468,0.99609375,0.996078431372549,0.16396459999959917,-1,4379.0,0.015450999955646694|0.001575100002810359|0.0005947000463493168|0.0032492000027559698|0.0008502000127919018|2.279653800011147|0.006958800018765032|
Dpname,1024,20,8,-1,-1,None,5,100,2,0.998046875,0.9945052877244078,0.9955313240489965,0.994440429887118,0.9945034633041879,0.5393496987389322,0.9990282105327468,0.99609375,0.996078431372549,0.16619764000643045,-1,4379.0,0.01614379999227822|0.0014779000193811953|0.0006371000199578702|0.003257900010794401|0.0008886000141501427|2.2150992999668233|0.005541899998206645|
