dataset,n,d,k,npr,AMI1,AMI1_,ARI1,ARI1_,Ac1,Ac1_,HOMO1,HOMO1_,Pr1,Pr1_,Rc1,Rc1_,Sil1,Sil1_,Purity1,Purity1_,Time1,Time1_,AMI2,AMI2_,ARI2,ARI2_,Ac2,Ac2_,HOMO2,HOMO2_,Pr2,Pr2_,Rc2,Rc2_,Sil2,Sil2_,Purity2,Purity2_,Time2,Time2_
SYN_512_64_64_16_20.csv,512,64,64,4,0.024910754126893506,0.008377649999051062,0.010430709451607501,0.0039103416930427095,0.9704317514677103,0.0002878065465542128,0.5200110087186094,0.003736950521676009,0.02304836212835685,0.0034610651126706863,0.028041294642857144,0.004557054400407666,-0.025614764590075126,0.0013757843249473062,0.14208984375,0.00909567187997908,1.2788850489305332,0.005752840093384267,0.024910754126893506,0.008377649999051062,0.010430709451607501,0.0039103416930427095,0.9704317514677103,0.0002878065465542128,0.5200110087186094,0.003736950521676009,0.02304836212835685,0.0034610651126706863,0.028041294642857144,0.004557054400407666,-0.025614764590075126,0.0013757843249473062,0.14208984375,0.00909567187997908,1.7516945336014031,0.011187316387092257
SYN_1024_64_64_16_20.csv,1024,64,64,4,0.06312122984675206,0.005068530955643082,0.02146813169145876,0.0032480013452738676,0.9707169667949658,0.00014204965654840396,0.4060213189375168,0.003159568134107036,0.035092979474372454,0.003094194197793702,0.03763020833333333,0.0033068815362500754,-0.008110615133008769,0.00020262670508863079,0.132080078125,0.0031925529371635794,2.548221790720709,0.029779493776530427,0.06312122984675206,0.005068530955643082,0.02146813169145876,0.0032480013452738676,0.9707169667949658,0.00014204965654840396,0.4060213189375168,0.003159568134107036,0.035092979474372454,0.003094194197793702,0.03763020833333333,0.0033068815362500754,-0.008110615133008769,0.00020262670508863079,0.132080078125,0.0031925529371635794,3.6013943819794805,0.031217090036737567
SYN_2048_64_64_16_20.csv,2048,64,64,4,0.10066436254365535,0.006511834511688058,0.02846842304689039,0.003246998850546298,0.9702657709834513,0.00011917559458865179,0.31395116539482226,0.004992329521100039,0.042468680722422686,0.003133262775017277,0.04470923639112903,0.0032479460887384634,-2.0,0.0,0.11376953125,0.0063382592703843605,5.0080523323500525,0.054182399707852776,0.10066436254365535,0.006511834511688058,0.02846842304689039,0.003246998850546298,0.9702657709834513,0.00011917559458865179,0.31395116539482226,0.004992329521100039,0.042468680722422686,0.003133262775017277,0.04470923639112903,0.0032479460887384634,-2.0,0.0,0.11376953125,0.0063382592703843605,7.398751890333369,0.04220048293309081
SYN_4096_64_64_16_20.csv,4096,64,64,4,0.13023542087450415,0.005367969540456935,0.03672147663789982,0.005455030696314068,0.9702095972603786,0.00018405940914542385,0.24759152604779075,0.00464729719740503,0.050796951609403035,0.005260971384584738,0.05294363839285715,0.00548768780127185,-2.0,0.0,0.11846923828125,0.006970578266029207,9.959070288203657,0.08310098974052546,0.13023542087450415,0.005367969540456935,0.03672147663789982,0.005455030696314068,0.9702095972603786,0.00018405940914542385,0.24759152604779075,0.00464729719740503,0.050796951609403035,0.005260971384584738,0.05294363839285715,0.00548768780127185,-2.0,0.0,0.11846923828125,0.006970578266029207,14.22067458606325,0.14717023509442467
SYN_8192_64_64_16_20.csv,8192,64,64,4,0.1399779054753373,0.018612278211691376,0.052873409864700585,0.018890411059194718,0.9704392900863944,0.0006254227276643864,0.19791906037905432,0.017377271928512444,0.06643241446550217,0.018283822982811747,0.06940225916584646,0.01887794476161002,-2.0,0.0,0.115142822265625,0.020521499970705098,21.460094718053007,0.6953284018170637,0.1399779054753373,0.018612278211691376,0.052873409864700585,0.018890411059194718,0.9704392900863944,0.0006254227276643864,0.19791906037905432,0.017377271928512444,0.06643241446550217,0.018283822982811747,0.06940225916584646,0.01887794476161002,-2.0,0.0,0.115142822265625,0.020521499970705098,26.61314968098886,0.24871192068286385
SYN_16384_64_64_16_20.csv,16384,64,64,4,0.08990020501446958,0.018662258862491475,0.024335147615729684,0.015953462167609865,-2.0,0.0,0.11872946815301516,0.01814360681039801,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,43.8490471414756,1.8778637319422813,0.08990020501446958,0.018662258862491475,0.024335147615729684,0.015953462167609865,-2.0,0.0,0.11872946815301516,0.01814360681039801,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,48.36723759113811,0.5118863172361511
SYN_32768_64_64_16_20.csv,32768,64,64,4,0.056235982744476484,0.0017148776502958682,0.008934677927288082,0.0005377855710452641,-2.0,0.0,0.07076044342026686,0.0016981103285373506,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,88.62414909061044,3.8011455971131665,0.056235982744476484,0.0017148776502958682,0.008934677927288082,0.0005377855710452641,-2.0,0.0,0.07076044342026686,0.0016981103285373506,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,93.94396115264388,1.2506127645129357
SYN_65536_64_64_16_20.csv,65536,64,64,4,0.05090183511896808,0.0014082150698561129,0.007871389390403277,0.0003444627674441055,-2.0,0.0,0.058247284015550044,0.0014057365998865002,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,189.17560251178222,7.709422392982933,0.05090183511896808,0.0014082150698561129,0.007871389390403277,0.0003444627674441055,-2.0,0.0,0.058247284015550044,0.0014057365998865002,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,188.83442046665584,2.21472486541286
SYN_131072_64_64_16_20.csv,131072,64,64,4,0.05073042882591312,0.0008947299138956247,0.007888001129038294,0.00022969194170513525,-2.0,0.0,0.05453373556150343,0.0009001669968732415,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,401.9007374541136,18.499006227106346,0.05073042882591312,0.0008947299138956247,0.007888001129038294,0.00022969194170513525,-2.0,0.0,0.05453373556150343,0.0009001669968732415,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,377.9409591416595,4.852254114501042
SYN_262144_64_64_16_20.csv,262144,64,64,4,0.05134041702739857,0.0020028123186697417,0.007945757637701804,0.00042353303093287326,-2.0,0.0,0.053359917066917145,0.00201333933714869,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,770.0394712625304,19.648367801906243,0.05134041702739857,0.0020028123186697417,0.007945757637701804,0.00042353303093287326,-2.0,0.0,0.053359917066917145,0.00201333933714869,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,752.3653643763158,10.238224161793147
SYN_524288_64_64_16_20.csv,524288,64,64,4,0.049525777056472105,0.0006554156387345337,0.0076766298965938295,0.0001417050648495616,-2.0,0.0,0.050672783286448836,0.0006301562494531228,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1771.0391870295164,3.8154763897486497,0.049525777056472105,0.0006554156387345337,0.0076766298965938295,0.0001417050648495616,-2.0,0.0,0.050672783286448836,0.0006301562494531228,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1546.7702752110783,11.148236092168668
