dataset,n,d,k,npr,AMI1,AMI1_,ARI1,ARI1_,Ac1,Ac1_,HOMO1,HOMO1_,Pr1,Pr1_,Rc1,Rc1_,Sil1,Sil1_,Purity1,Purity1_,Time1,Time1_,AMI2,AMI2_,ARI2,ARI2_,Ac2,Ac2_,HOMO2,HOMO2_,Pr2,Pr2_,Rc2,Rc2_,Sil2,Sil2_,Purity2,Purity2_,Time2,Time2_
SYN_512_64_64_16_10.csv,512,64,64,4,0.8831364164595256,0.05236782365624592,0.8005478997308066,0.08166357039066004,0.9941119587818004,0.002497901580305493,0.9498598517845305,0.023714285847162165,0.749679457752248,0.09422232141106938,0.8670479910714286,0.06275281571254725,0.13517381616473717,0.02382708271852377,0.72705078125,0.1003664455165177,1.2410357283661142,0.0034908727465798274,0.8831364164595256,0.05236782365624592,0.8005478997308066,0.08166357039066004,0.9941119587818004,0.002497901580305493,0.9498598517845305,0.023714285847162165,0.749679457752248,0.09422232141106938,0.8670479910714286,0.06275281571254725,0.13517381616473717,0.02382708271852377,0.72705078125,0.1003664455165177,1.8872401659842581,0.015310803574516134
SYN_1024_64_64_16_10.csv,1024,64,64,4,0.9520908811208414,0.01945840094296099,0.9067189973565126,0.026799841546134268,0.9972025255070869,0.0008179684517196473,0.9738643598314338,0.011863265611770257,0.8772239004019415,0.03034715346844397,0.9414388020833333,0.023114890331620855,0.16791012621368667,0.008354545209574349,0.81591796875,0.06094915816466578,2.5010283774230633,0.007817024988292912,0.9520908811208414,0.01945840094296099,0.9067189973565126,0.026799841546134268,0.9972025255070869,0.0008179684517196473,0.9738643598314338,0.011863265611770257,0.8772239004019415,0.03034715346844397,0.9414388020833333,0.023114890331620855,0.16791012621368667,0.008354545209574349,0.81591796875,0.06094915816466578,3.6332803735742347,0.008165662153800489
SYN_2048_64_64_16_10.csv,2048,64,64,4,0.9625429975333888,0.013851798809666306,0.926991448160601,0.028537597072491552,0.9977396418539326,0.0009080602385554262,0.9755771677561389,0.009499167457067392,0.9015828928396691,0.04282499749043319,0.9570154989919354,0.015296386128624632,-2.0,0.0,0.8509521484375,0.030376382348901068,4.948068900546058,0.017446555188621444,0.9625429975333888,0.013851798809666306,0.926991448160601,0.028537597072491552,0.9977396418539326,0.0009080602385554262,0.9755771677561389,0.009499167457067392,0.9015828928396691,0.04282499749043319,0.9570154989919354,0.015296386128624632,-2.0,0.0,0.8509521484375,0.030376382348901068,6.927562873740681,0.04040656666833534
SYN_4096_64_64_16_10.csv,4096,64,64,4,0.9730333409789704,0.009188415663529103,0.9427489865881258,0.011693191575388475,0.9982224535447192,0.00036907660168176255,0.9800316639316999,0.00855223455337271,0.9219152935360085,0.01689118426310797,0.9666341145833333,0.012137597244202837,-2.0,0.0,0.87652587890625,0.03842341242410083,9.959980313084088,0.08163691023513617,0.9730333409789704,0.009188415663529103,0.9427489865881258,0.011693191575388475,0.9982224535447192,0.00036907660168176255,0.9800316639316999,0.00855223455337271,0.9219152935360085,0.01689118426310797,0.9666341145833333,0.012137597244202837,-2.0,0.0,0.87652587890625,0.03842341242410083,13.530046510556712,0.07279324193819665
SYN_8192_64_64_16_10.csv,8192,64,64,4,0.9585004325050538,0.017042118904413813,0.9254558160747134,0.030690562566365556,0.9976751723142206,0.0009755520846116385,0.9638976633413011,0.015260447238556116,0.9098215373776574,0.03526126374952768,0.9441802257627953,0.02493902850229292,-2.0,0.0,0.831085205078125,0.04131096140972891,21.164362824731505,0.08874672939316443,0.9585004325050538,0.017042118904413813,0.9254558160747134,0.030690562566365556,0.9976751723142206,0.0009755520846116385,0.9638976633413011,0.015260447238556116,0.9098215373776574,0.03526126374952768,0.9441802257627953,0.02493902850229292,-2.0,0.0,0.831085205078125,0.04131096140972891,27.192732744757087,0.09258206038824823
SYN_16384_64_64_16_10.csv,16384,64,64,4,0.9415247527146028,0.03575846674698552,0.9013340957409691,0.055782558786743784,-2.0,0.0,0.9468118416757441,0.03329678238526977,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,45.38596913663204,0.48509197966826484,0.9415247527146028,0.03575846674698552,0.9013340957409691,0.055782558786743784,-2.0,0.0,0.9468118416757441,0.03329678238526977,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,54.75784375525545,0.3797948140870339
SYN_32768_64_64_16_10.csv,32768,64,64,4,0.9606682352905369,0.023928599820557298,0.9305193338119955,0.03535580590270254,-2.0,0.0,0.9634338729246185,0.022876859614213544,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,92.83078689407557,0.5251365346232926,0.9606682352905369,0.023928599820557298,0.9305193338119955,0.03535580590270254,-2.0,0.0,0.9634338729246185,0.022876859614213544,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,111.03933908210603,1.0428491492936947
SYN_65536_64_64_16_10.csv,65536,64,64,4,0.9569490715798721,0.012614012769120261,0.9249960777680314,0.018394413713370365,-2.0,0.0,0.9603949958766833,0.012565805636500694,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,203.61262325493152,0.5597332064055351,0.9569490715798721,0.012614012769120261,0.9249960777680314,0.018394413713370365,-2.0,0.0,0.9603949958766833,0.012565805636500694,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,231.20217877149116,0.9074344279851327
SYN_131072_64_64_16_10.csv,131072,64,64,4,0.9570487464267498,0.006161616046323995,0.9241891717010522,0.017222125991810815,-2.0,0.0,0.9603155833805608,0.005408321842426755,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,438.1129186749924,3.276503326014907,0.9570487464267498,0.006161616046323995,0.9241891717010522,0.017222125991810815,-2.0,0.0,0.9603155833805608,0.005408321842426755,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,472.63027067284565,3.501148306157209
SYN_262144_64_64_16_10.csv,262144,64,64,4,0.954357194192679,0.0213901468866689,0.9239650436083924,0.03462536059299676,-2.0,0.0,0.9572342876464119,0.01989303286478246,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,887.680546609708,5.988319073899651,0.954357194192679,0.0213901468866689,0.9239650436083924,0.03462536059299676,-2.0,0.0,0.9572342876464119,0.01989303286478246,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,943.1652019578498,6.537989872236334
SYN_524288_64_64_16_10.csv,524288,64,64,4,0.9506051234649242,0.027590930574088356,0.9131184158159458,0.03566499311700751,-2.0,0.0,0.9541680900006432,0.026552256459732734,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1783.9665446430913,10.808456150673528,0.9506051234649242,0.027590930574088356,0.9131184158159458,0.03566499311700751,-2.0,0.0,0.9541680900006432,0.026552256459732734,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1872.308057928644,8.099447878741802
SYN_1048576_64_64_16_10.csv,1048576,64,64,4,0.949905745381447,0.022268793888519833,0.9176160542256914,0.03647890883169641,-2.0,0.0,0.9526932007611644,0.02093364677659713,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,3588.404548145714,6.6483151909073115,0.949905745381447,0.022268793888519833,0.9176160542256914,0.03647890883169641,-2.0,0.0,0.9526932007611644,0.02093364677659713,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,3755.8688448392086,38.11952693271825
SYN_2097152_64_64_16_10.csv,2097152,64,64,4,0.944209335386071,0.014343310905618831,0.9044981232817295,0.020294769720052716,-2.0,0.0,0.9473259669129965,0.01409669863905003,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,7368.697702486114,32.07777388500793,0.944209335386071,0.014343310905618831,0.9044981232817295,0.020294769720052716,-2.0,0.0,0.9473259669129965,0.01409669863905003,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,7647.981693631387,28.536851223567073
