dataset,n,d,k,npr,AMI1,AMI1_,ARI1,ARI1_,Ac1,Ac1_,HOMO1,HOMO1_,Pr1,Pr1_,Rc1,Rc1_,Sil1,Sil1_,Purity1,Purity1_,Time1,Time1_,AMI2,AMI2_,ARI2,ARI2_,Ac2,Ac2_,HOMO2,HOMO2_,Pr2,Pr2_,Rc2,Rc2_,Sil2,Sil2_,Purity2,Purity2_,Time2,Time2_
SYN_512_64_64_16_10.csv,512,64,64,64,0.8796208874816576,0.03250113154153114,0.8085771629328506,0.045464064828093044,0.9945097025593199,0.0013548672691171876,0.946877553551073,0.01553380470005226,0.7686745806351232,0.04979740661029345,0.8594273158482142,0.04034663804536216,0.13680416427789052,0.012830703359930255,0.7371826171875,0.05435392278185465,1.4365026707819197,0.010983178768291267,0.8796208874816576,0.03250113154153114,0.8085771629328506,0.045464064828093044,0.9945097025593199,0.0013548672691171876,0.946877553551073,0.01553380470005226,0.7686745806351232,0.04979740661029345,0.8594273158482142,0.04034663804536216,0.13680416427789052,0.012830703359930255,0.7371826171875,0.05435392278185465,2.1869350143650084,0.0242062654178193
SYN_1024_64_64_16_10.csv,1024,64,64,64,0.9547587892251042,0.01830995199498121,0.9038575548378454,0.030987581672424575,0.9970877340695259,0.0009794709495112952,0.9763392575089651,0.011084551434968832,0.8687569405367626,0.03949410565350512,0.945587158203125,0.022866165896386348,0.16610121047506393,0.009075232104391292,0.8158416748046875,0.06163325235142413,2.873847246146761,0.02680825922323913,0.9547587892251042,0.01830995199498121,0.9038575548378454,0.030987581672424575,0.9970877340695259,0.0009794709495112952,0.9763392575089651,0.011084551434968832,0.8687569405367626,0.03949410565350512,0.945587158203125,0.022866165896386348,0.16610121047506393,0.009075232104391292,0.8158416748046875,0.06163325235142413,4.241568622546038,0.048340571188951506
SYN_2048_64_64_16_10.csv,2048,64,64,64,0.9643372898406619,0.016590109405688756,0.9204954412101654,0.024848132863398254,0.9975345464351414,0.0007860254306988666,0.9773464322760053,0.012615819969284913,0.8900128976505817,0.031843641082942936,0.9561959543535786,0.020840816573729725,-2.0,0.0,0.8344955444335938,0.04623052941827214,5.724978140264284,0.039932892622310465,0.9643372898406619,0.016590109405688756,0.9204954412101654,0.024848132863398254,0.9975345464351414,0.0007860254306988666,0.9773464322760053,0.012615819969284913,0.8900128976505817,0.031843641082942936,0.9561959543535786,0.020840816573729725,-2.0,0.0,0.8344955444335938,0.04623052941827214,8.149803246289958,0.08350753016105278
SYN_4096_64_64_16_10.csv,4096,64,64,64,0.9698071719639527,0.014341215703579286,0.9349819798331109,0.02641095181960133,0.9979647067003634,0.0008478679646757787,0.9776968291434197,0.011957405663124058,0.9111809890428906,0.03644938568878355,0.9627089727492559,0.018537627861801693,-2.0,0.0,0.8615150451660156,0.05967323202259734,11.43264669853961,0.07604126455812005,0.9698071719639527,0.014341215703579286,0.9349819798331109,0.02641095181960133,0.9979647067003634,0.0008478679646757787,0.9776968291434197,0.011957405663124058,0.9111809890428906,0.03644938568878355,0.9627089727492559,0.018537627861801693,-2.0,0.0,0.8615150451660156,0.05967323202259734,15.9271768894454,0.13397595574983956
SYN_8192_64_64_16_10.csv,8192,64,64,64,0.9661466888293234,0.018783545632944862,0.9344208184298144,0.03155368735657585,0.9979477119655373,0.0010059902525521077,0.971337440780357,0.016888835086429396,0.9165474426051382,0.037739379983935874,0.9554055581881304,0.02548574424795056,-2.0,0.0,0.8705368041992188,0.05613119670474273,24.654894903575766,0.398214311452114,0.9661466888293234,0.018783545632944862,0.9344208184298144,0.03155368735657585,0.9979477119655373,0.0010059902525521077,0.971337440780357,0.016888835086429396,0.9165474426051382,0.037739379983935874,0.9554055581881304,0.02548574424795056,-2.0,0.0,0.8705368041992188,0.05613119670474273,31.444743529334666,0.2749466611906497
SYN_16384_64_64_16_10.csv,16384,64,64,64,0.9613625626743023,0.018262658444162274,0.9277106263861254,0.029505839076358766,-2.0,0.0,0.9658308638475532,0.017137789748114706,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,51.25610914374702,0.5163445761665026,0.9613625626743023,0.018262658444162274,0.9277106263861254,0.029505839076358766,-2.0,0.0,0.9658308638475532,0.017137789748114706,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,62.57484143202309,0.6038723164187981
SYN_32768_64_64_16_10.csv,32768,64,64,64,0.9563555003346097,0.019965881136491014,0.9201599833258881,0.034149648597433024,-2.0,0.0,0.9604371205936413,0.01854002627695157,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,107.06996134254733,1.5353906257277872,0.9563555003346097,0.019965881136491014,0.9201599833258881,0.034149648597433024,-2.0,0.0,0.9604371205936413,0.01854002627695157,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,128.5584027827601,1.1447152015675024
SYN_65536_64_64_16_10.csv,65536,64,64,64,0.9539401858315193,0.020564863573975484,0.9194826934532716,0.03420119880407924,-2.0,0.0,0.9574998318365963,0.01932933381542237,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,229.3577002437494,1.4709442762429807,0.9539401858315193,0.020564863573975484,0.9194826934532716,0.03420119880407924,-2.0,0.0,0.9574998318365963,0.01932933381542237,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,261.80520608066,1.9029151682546748
SYN_131072_64_64_16_10.csv,131072,64,64,64,0.9557224144266914,0.018422277015755655,0.9241264629856469,0.03154073534551491,-2.0,0.0,0.9587527166799702,0.01730131777561152,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,489.1384346895793,2.587850450827623,0.9557224144266914,0.018422277015755655,0.9241264629856469,0.03154073534551491,-2.0,0.0,0.9587527166799702,0.01730131777561152,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,534.578343713237,5.10056844042761
SYN_262144_64_64_16_10.csv,262144,64,64,64,0.9543377722073092,0.01916735834558347,0.9221790603567981,0.03215447996937775,-2.0,0.0,0.9574526698003532,0.018116315591412885,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,981.6659408192384,4.213752983924077,0.9543377722073092,0.01916735834558347,0.9221790603567981,0.03215447996937775,-2.0,0.0,0.9574526698003532,0.018116315591412885,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1067.0333765048185,9.764563524488553
