"[0.0, 0.04101691528031948, 0.04669433063170747, 0.048556383378314125, 0.048668661288754037, 0.048047986472778734, 0.04698481093446188, 0.03934291971515328]","[0.04101691528031948, 0.0, 0.03735402472037627, 0.040140495167974154, 0.04237032264761422, 0.044735006495940366, 0.042832255909707365, 0.039660285302600365]","[0.04669433063170747, 0.03735402472037627, 0.0, 0.03308229996902469, 0.042639558964036636, 0.04677265791476035, 0.040365766912625375, 0.03798318144364027]","[0.048556383378314125, 0.040140495167974154, 0.03308229996902469, 0.0, 0.035989340176112605, 0.042667007765084405, 0.039819251568562995, 0.043288580891762365]","[0.048668661288754037, 0.04237032264761422, 0.042639558964036636, 0.035989340176112605, 0.0, 0.03487979345117173, 0.03897008506365794, 0.04432176672547145]","[0.048047986472778734, 0.044735006495940366, 0.04677265791476035, 0.042667007765084405, 0.03487979345117173, 0.0, 0.03922016924664035, 0.04451541825170918]","[0.04698481093446188, 0.042832255909707365, 0.040365766912625375, 0.039819251568562995, 0.03897008506365794, 0.03922016924664035, 0.0, 0.034235376203504454]","[0.03934291971515328, 0.039660285302600365, 0.03798318144364027, 0.043288580891762365, 0.04432176672547145, 0.04451541825170918, 0.034235376203504454, 0.0]"
"[0.0, 0.03687156636406551, 0.03545801668020579, 0.040916434319296834, 0.06593752449014317, 0.042461749192844414, 0.03763973038187836, 0.03687631765882137]","[0.03687156636406551, 0.0, 0.0339322886911663, 0.03928595606458234, 0.06183509384557377, 0.041622474730310555, 0.038966356623696935, 0.04207079688249108]","[0.03545801668020579, 0.0339322886911663, 0.0, 0.028932162178762003, 0.06608220369455764, 0.03966164274282634, 0.03096327011700072, 0.028128775412828263]","[0.040916434319296834, 0.03928595606458234, 0.028932162178762003, 0.0, 0.058167246381002395, 0.03660425800868934, 0.03490593811185118, 0.03204158438536615]","[0.06593752449014317, 0.06183509384557377, 0.06608220369455764, 0.058167246381002395, 0.0, 0.05286626547257, 0.06312001315472002, 0.07139403032897765]","[0.042461749192844414, 0.041622474730310555, 0.03966164274282634, 0.03660425800868934, 0.05286626547257, 0.0, 0.03350929100413761, 0.04123609461410649]","[0.03763973038187836, 0.038966356623696935, 0.03096327011700072, 0.03490593811185118, 0.06312001315472002, 0.03350929100413761, 0.0, 0.031197649098208644]","[0.03687631765882137, 0.04207079688249108, 0.028128775412828263, 0.03204158438536615, 0.07139403032897765, 0.04123609461410649, 0.031197649098208644, 0.0]"
"[0.0, 0.04397324700638758, 0.042417233190617055, 0.04535682770158086, 0.05606700327664895, 0.04433913014692784, 0.04299307226642905, 0.03800051865428695]","[0.04397324700638758, 0.0, 0.039062529025923956, 0.04635199585769567, 0.05523816558909131, 0.0456188389849481, 0.04587748968848694, 0.04514967342824728]","[0.042417233190617055, 0.039062529025923956, 0.0, 0.03013501687933124, 0.05541666750649935, 0.03787389170144814, 0.03709459476803525, 0.04152647190773661]","[0.04535682770158086, 0.04635199585769567, 0.03013501687933124, 0.0, 0.05440136770170106, 0.03421166749942346, 0.03211827726343273, 0.03954836864665116]","[0.05606700327664895, 0.05523816558909131, 0.05541666750649935, 0.05440136770170106, 0.0, 0.052028997539789165, 0.05382469332853003, 0.05524188566852276]","[0.04433913014692784, 0.0456188389849481, 0.03787389170144814, 0.03421166749942346, 0.052028997539789165, 0.0, 0.0327453860446956, 0.04207522456000915]","[0.04299307226642905, 0.04587748968848694, 0.03709459476803525, 0.03211827726343273, 0.05382469332853003, 0.0327453860446956, 0.0, 0.037612029579509126]","[0.03800051865428695, 0.04514967342824728, 0.04152647190773661, 0.03954836864665116, 0.05524188566852276, 0.04207522456000915, 0.037612029579509126, 0.0]"
"[0.0, 0.04989847845369575, 0.05907299304820847, 0.06094845266007528, 0.061103470929127116, 0.05516353371819249, 0.05829545046126659, 0.052337980164454616]","[0.04989847845369575, 0.0, 0.03489010110717143, 0.04974776371675991, 0.04379791022564591, 0.038773694175528686, 0.04010083212714303, 0.04623341065743827]","[0.05907299304820847, 0.03489010110717143, 0.0, 0.04861942762620207, 0.02857035789434959, 0.03788717709781943, 0.027577074784845234, 0.04724442598370693]","[0.06094845266007528, 0.04974776371675991, 0.04861942762620207, 0.0, 0.05131972351687251, 0.05278292375752763, 0.05437678578190211, 0.05443262353351165]","[0.061103470929127116, 0.04379791022564591, 0.02857035789434959, 0.05131972351687251, 0.0, 0.03339542447648687, 0.029254894969119524, 0.04438706117970826]","[0.05516353371819249, 0.038773694175528686, 0.03788717709781943, 0.05278292375752763, 0.03339542447648687, 0.0, 0.030434330227046596, 0.04170221086116797]","[0.05829545046126659, 0.04010083212714303, 0.027577074784845234, 0.05437678578190211, 0.029254894969119524, 0.030434330227046596, 0.0, 0.04181603557438303]","[0.052337980164454616, 0.04623341065743827, 0.04724442598370693, 0.05443262353351165, 0.04438706117970826, 0.04170221086116797, 0.04181603557438303, 0.0]"
"[0.0, 0.03521539018617579, 0.045065666945685166, 0.046299027105781716, 0.047255095973961506, 0.04479867991065175, 0.04563035828075844, 0.0387390283648182]","[0.03521539018617579, 0.0, 0.03608555622101017, 0.043724748362166506, 0.04213083205198648, 0.03834816395066156, 0.04093280040718517, 0.03528395442482503]","[0.045065666945685166, 0.03608555622101017, 0.0, 0.03586034609996009, 0.039120509242911106, 0.03784255416743333, 0.04412576689166869, 0.03594914691625954]","[0.046299027105781716, 0.043724748362166506, 0.03586034609996009, 0.0, 0.04013625980447097, 0.04441979373944687, 0.04534720152595136, 0.04200894213708248]","[0.047255095973961506, 0.04213083205198648, 0.039120509242911106, 0.04013625980447097, 0.0, 0.03465094661730317, 0.040338298645354494, 0.04080866234536662]","[0.04479867991065175, 0.03834816395066156, 0.03784255416743333, 0.04441979373944687, 0.03465094661730317, 0.0, 0.03767211467219041, 0.0346147011622479]","[0.04563035828075844, 0.04093280040718517, 0.04412576689166869, 0.04534720152595136, 0.040338298645354494, 0.03767211467219041, 0.0, 0.03800121393815276]","[0.0387390283648182, 0.03528395442482503, 0.03594914691625954, 0.04200894213708248, 0.04080866234536662, 0.0346147011622479, 0.03800121393815276, 0.0]"
"[0.0, 0.041789412593179684, 0.04655406013256595, 0.05511111848149859, 0.03778851844464544, 0.04241729153390218, 0.03167697791457122, 0.02903660101733175]","[0.041789412593179684, 0.0, 0.04099494730401652, 0.05504622008398226, 0.04622515665304851, 0.045626061900573035, 0.04661903480259251, 0.04652956894561991]","[0.04655406013256595, 0.04099494730401652, 0.0, 0.04945683996852084, 0.04529367159301998, 0.048781288758277634, 0.048887086435135785, 0.04890944648289487]","[0.05511111848149859, 0.05504622008398226, 0.04945683996852084, 0.0, 0.04387351523256443, 0.05052748781139328, 0.0553023664158738, 0.05957209071712186]","[0.03778851844464544, 0.04622515665304851, 0.04529367159301998, 0.04387351523256443, 0.0, 0.03988041389812419, 0.03971626562857206, 0.04198581124582222]","[0.04241729153390218, 0.045626061900573035, 0.048781288758277634, 0.05052748781139328, 0.03988041389812419, 0.0, 0.04057587251542235, 0.04731955646773321]","[0.03167697791457122, 0.04661903480259251, 0.048887086435135785, 0.0553023664158738, 0.03971626562857206, 0.04057587251542235, 0.0, 0.02738364203192969]","[0.02903660101733175, 0.04652956894561991, 0.04890944648289487, 0.05957209071712186, 0.04198581124582222, 0.04731955646773321, 0.02738364203192969, 0.0]"
"[0.0, 0.04038748606114025, 0.04498268038378101, 0.047542011670243585, 0.04720426306988226, 0.04890017092911126, 0.04594299241792728, 0.051014549519832565]","[0.04038748606114025, 0.0, 0.0375270697501658, 0.04125424075890718, 0.041284938695851425, 0.0498406652105906, 0.04275295648837703, 0.058842493065813586]","[0.04498268038378101, 0.0375270697501658, 0.0, 0.02966277302680972, 0.03215396801573049, 0.04682884193823967, 0.03566088852322905, 0.06190963724995421]","[0.047542011670243585, 0.04125424075890718, 0.02966277302680972, 0.0, 0.025476170157652366, 0.04709997703124108, 0.03643280945682542, 0.0683321519669887]","[0.04720426306988226, 0.041284938695851425, 0.03215396801573049, 0.025476170157652366, 0.0, 0.04245737918642778, 0.035509268081080236, 0.06804902972862208]","[0.04890017092911126, 0.0498406652105906, 0.04682884193823967, 0.04709997703124108, 0.04245737918642778, 0.0, 0.03614500406923323, 0.05866215117061877]","[0.04594299241792728, 0.04275295648837703, 0.03566088852322905, 0.03643280945682542, 0.035509268081080236, 0.03614500406923323, 0.0, 0.054894771235927585]","[0.051014549519832565, 0.058842493065813586, 0.06190963724995421, 0.0683321519669887, 0.06804902972862208, 0.05866215117061877, 0.054894771235927585, 0.0]"
"[0.0, 0.038448763080482055, 0.04943823755405692, 0.05375602190002386, 0.05262841255623797, 0.05647921213671045, 0.051591530854616374, 0.04022853302037736]","[0.038448763080482055, 0.0, 0.04097106682738401, 0.04724950919192125, 0.05048147781850981, 0.05018956421495108, 0.04502876570531392, 0.043922808461352186]","[0.04943823755405692, 0.04097106682738401, 0.0, 0.03161280605190182, 0.043456595456345344, 0.034062612585999665, 0.03787347963094889, 0.04476981930489191]","[0.05375602190002386, 0.04724950919192125, 0.03161280605190182, 0.0, 0.03809956079565855, 0.03261000795598916, 0.03799682273829495, 0.04566593540273473]","[0.05262841255623797, 0.05048147781850981, 0.043456595456345344, 0.03809956079565855, 0.0, 0.043463085200064235, 0.04475629616156946, 0.047456409195923054]","[0.05647921213671045, 0.05018956421495108, 0.034062612585999665, 0.03261000795598916, 0.043463085200064235, 0.0, 0.03600057322815441, 0.04636789828041157]","[0.051591530854616374, 0.04502876570531392, 0.03787347963094889, 0.03799682273829495, 0.04475629616156946, 0.03600057322815441, 0.0, 0.03403758494906294]","[0.04022853302037736, 0.043922808461352186, 0.04476981930489191, 0.04566593540273473, 0.047456409195923054, 0.04636789828041157, 0.03403758494906294, 0.0]"
"[0.0, 0.0365005092198965, 0.04070152554241098, 0.04027484355324291, 0.062369996457223166, 0.045514346266444794, 0.038428238166133784, 0.03144148345485248]","[0.0365005092198965, 0.0, 0.03620037508217478, 0.037324059386925505, 0.062296227917107136, 0.04258965674940834, 0.03289718848886491, 0.037340726200000555]","[0.04070152554241098, 0.03620037508217478, 0.0, 0.03532527069890244, 0.05760816263992458, 0.043267064318351846, 0.04269514999737784, 0.042897013639708166]","[0.04027484355324291, 0.037324059386925505, 0.03532527069890244, 0.0, 0.05258870301148176, 0.03883126338369137, 0.03624518801089324, 0.03881305115724942]","[0.062369996457223166, 0.062296227917107136, 0.05760816263992458, 0.05258870301148176, 0.0, 0.0538560361404747, 0.06433824410698634, 0.058598066387919236]","[0.045514346266444794, 0.04258965674940834, 0.043267064318351846, 0.03883126338369137, 0.0538560361404747, 0.0, 0.03790624175428798, 0.04298066167245747]","[0.038428238166133784, 0.03289718848886491, 0.04269514999737784, 0.03624518801089324, 0.06433824410698634, 0.03790624175428798, 0.0, 0.036260896558840544]","[0.03144148345485248, 0.037340726200000555, 0.042897013639708166, 0.03881305115724942, 0.058598066387919236, 0.04298066167245747, 0.036260896558840544, 0.0]"
"[0.0, 0.04878143185417926, 0.05838620309591038, 0.05373537394551731, 0.0535737146157939, 0.05633207337552626, 0.04887701872306899, 0.04843261201413318]","[0.04878143185417926, 0.0, 0.046254256130549364, 0.05727190022809496, 0.057904617639889064, 0.05859851991965466, 0.05511253378545141, 0.058639993564207224]","[0.05838620309591038, 0.046254256130549364, 0.0, 0.056553357197373345, 0.05778041678983142, 0.05989091733956885, 0.06026406531731209, 0.062422282865909354]","[0.05373537394551731, 0.05727190022809496, 0.056553357197373345, 0.0, 0.03227718481015544, 0.043480485458603946, 0.030890468595260363, 0.026228412370272486]","[0.0535737146157939, 0.057904617639889064, 0.05778041678983142, 0.03227718481015544, 0.0, 0.039650292645323534, 0.036588093663494727, 0.037336522498646434]","[0.05633207337552626, 0.05859851991965466, 0.05989091733956885, 0.043480485458603946, 0.039650292645323534, 0.0, 0.038680478780812835, 0.04631522368988573]","[0.04887701872306899, 0.05511253378545141, 0.06026406531731209, 0.030890468595260363, 0.036588093663494727, 0.038680478780812835, 0.0, 0.025866063577175965]","[0.04843261201413318, 0.058639993564207224, 0.062422282865909354, 0.026228412370272486, 0.037336522498646434, 0.04631522368988573, 0.025866063577175965, 0.0]"
