"[0.0, 0.408248290463863, 0.4330127018922193, 0.408248290463863]","[0.408248290463863, 0.0, 0.14433756729740643, 0.0]","[0.4330127018922193, 0.14433756729740643, 0.0, 0.14433756729740643]","[0.408248290463863, 0.0, 0.14433756729740643, 0.0]"
"[0.0, 0.3572172541558801, 0.45357377202244253]","[0.3572172541558801, 0.0, 0.23935677693908453]","[0.45357377202244253, 0.23935677693908453, 0.0]"
