"[0.0, 0.10519621556373944, 0.08622523056536867, 0.09535788118877084, 0.0692025437576505, 0.11351938289950234, 0.12306392531211138, 0.06858732123416825]","[0.10519621556373944, 0.0, 0.11316510557589973, 0.1283541732092817, 0.11899929714824525, 0.14136798642717774, 0.14699150244898382, 0.11976711395956624]","[0.08622523056536867, 0.11316510557589973, 0.0, 0.08585878879247669, 0.07257606963939602, 0.10962442775704938, 0.1203940578539925, 0.07347477031549725]","[0.09535788118877084, 0.1283541732092817, 0.08585878879247669, 0.0, 0.059954074904194986, 0.11608822997492685, 0.11603521213151337, 0.06995118263938034]","[0.0692025437576505, 0.11899929714824525, 0.07257606963939602, 0.059954074904194986, 0.0, 0.09907915742069748, 0.10889756928306336, 0.01753196533857554]","[0.11351938289950234, 0.14136798642717774, 0.10962442775704938, 0.11608822997492685, 0.09907915742069748, 0.0, 0.12211832435756675, 0.09687156911738809]","[0.12306392531211138, 0.14699150244898382, 0.1203940578539925, 0.11603521213151337, 0.10889756928306336, 0.12211832435756675, 0.0, 0.10107089021377566]","[0.06858732123416825, 0.11976711395956624, 0.07347477031549725, 0.06995118263938034, 0.01753196533857554, 0.09687156911738809, 0.10107089021377566, 0.0]"
"[0.0, 0.10474612657567337, 0.12611241252472333, 0.14237252608412504, 0.1258632977418133, 0.14686191945840718, 0.10619855849393804]","[0.10474612657567337, 0.0, 0.0705556010371281, 0.10307054312076559, 0.08768459342742699, 0.11523398707713302, 0.021831824188338744]","[0.12611241252472333, 0.0705556010371281, 0.0, 0.10079750401900184, 0.10454345734332249, 0.1320926827861355, 0.08339705951170141]","[0.14237252608412504, 0.10307054312076559, 0.10079750401900184, 0.0, 0.11766709111602927, 0.1449032819720019, 0.10358321839615538]","[0.1258632977418133, 0.08768459342742699, 0.10454345734332249, 0.11766709111602927, 0.0, 0.10486921074547464, 0.08737574932124771]","[0.14686191945840718, 0.11523398707713302, 0.1320926827861355, 0.1449032819720019, 0.10486921074547464, 0.0, 0.11436363269792592]","[0.10619855849393804, 0.021831824188338744, 0.08339705951170141, 0.10358321839615538, 0.08737574932124771, 0.11436363269792592, 0.0]"
"[0.0, 0.05074529788806614, 0.022488199938709347, 0.141262834984279, 0.07209354681192305, 0.07358447455633849, 0.01952144612505862, 0.09784480551548513]","[0.05074529788806614, 0.0, 0.04803699281919976, 0.14351820202463533, 0.08209234431072553, 0.08554480589369315, 0.055534078609510706, 0.11637516767814668]","[0.022488199938709347, 0.04803699281919976, 0.0, 0.13086751224316678, 0.06969443679174143, 0.07329559656657411, 0.0223506496817782, 0.10921336090706434]","[0.141262834984279, 0.14351820202463533, 0.13086751224316678, 0.0, 0.13790833050167917, 0.1486535138267588, 0.14307797184091273, 0.16434661147620597]","[0.07209354681192305, 0.08209234431072553, 0.06969443679174143, 0.13790833050167917, 0.0, 0.087686655957728, 0.07211166802581699, 0.11962076613015772]","[0.07358447455633849, 0.08554480589369315, 0.07329559656657411, 0.1486535138267588, 0.087686655957728, 0.0, 0.07052006219823957, 0.124928345473189]","[0.01952144612505862, 0.055534078609510706, 0.0223506496817782, 0.14307797184091273, 0.07211166802581699, 0.07052006219823957, 0.0, 0.10579196003231463]","[0.09784480551548513, 0.11637516767814668, 0.10921336090706434, 0.16434661147620597, 0.11962076613015772, 0.124928345473189, 0.10579196003231463, 0.0]"
"[0.0, 0.0910167030067655, 0.11511863441481247, 0.1018887069976022, 0.06199134575710481, 0.023896548957941455, 0.08796899182615629, 0.06948976325342222]","[0.0910167030067655, 0.0, 0.12144990072835242, 0.1223943354440784, 0.10395914384380407, 0.09182994709065441, 0.12240722609862442, 0.10862871419867588]","[0.11511863441481247, 0.12144990072835242, 0.0, 0.10837993947930323, 0.11206672636904405, 0.1114100910312728, 0.13593740098770088, 0.12669487175482227]","[0.1018887069976022, 0.1223943354440784, 0.10837993947930323, 0.0, 0.09464725233674139, 0.09636776056220084, 0.13143952691142433, 0.12090749608537434]","[0.06199134575710481, 0.10395914384380407, 0.11206672636904405, 0.09464725233674139, 0.0, 0.04866402103496639, 0.09720306732683019, 0.09451199624682906]","[0.023896548957941455, 0.09182994709065441, 0.1114100910312728, 0.09636776056220084, 0.04866402103496639, 0.0, 0.08445805771659194, 0.07485967261929267]","[0.08796899182615629, 0.12240722609862442, 0.13593740098770088, 0.13143952691142433, 0.09720306732683019, 0.08445805771659194, 0.0, 0.09146497086306996]","[0.06948976325342222, 0.10862871419867588, 0.12669487175482227, 0.12090749608537434, 0.09451199624682906, 0.07485967261929267, 0.09146497086306996, 0.0]"
"[0.0, 0.13244910098401294, 0.0912138188384831, 0.0914358878702083, 0.133904881008013, 0.10986226973437632, 0.10009095591330935, 0.08464949129502829]","[0.13244910098401294, 0.0, 0.11227812070340774, 0.11458656956650459, 0.14928540138826213, 0.12756305198094464, 0.11906758633973674, 0.11486543884689991]","[0.0912138188384831, 0.11227812070340774, 0.0, 0.018489369513909497, 0.11440123528141755, 0.07975532864770603, 0.0622970219664197, 0.020419672848565697]","[0.0914358878702083, 0.11458656956650459, 0.018489369513909497, 0.0, 0.10461562070941326, 0.07790658592723805, 0.06369410686230817, 0.027160765851166453]","[0.133904881008013, 0.14928540138826213, 0.11440123528141755, 0.10461562070941326, 0.0, 0.09045355283003956, 0.11933542772583637, 0.11613791688879085]","[0.10986226973437632, 0.12756305198094464, 0.07975532864770603, 0.07790658592723805, 0.09045355283003956, 0.0, 0.07739355341127774, 0.0748340564351055]","[0.10009095591330935, 0.11906758633973674, 0.0622970219664197, 0.06369410686230817, 0.11933542772583637, 0.07739355341127774, 0.0, 0.05159504716913886]","[0.08464949129502829, 0.11486543884689991, 0.020419672848565697, 0.027160765851166453, 0.11613791688879085, 0.0748340564351055, 0.05159504716913886, 0.0]"
"[0.0, 0.11744375990594502, 0.11022289275347194, 0.12754620806584058, 0.11915454085478824, 0.11943077163585475, 0.11995610834062834, 0.11135553405919794]","[0.11744375990594502, 0.0, 0.0639279318404066, 0.0904893385970068, 0.09088882072439493, 0.09606322563692489, 0.0966800788604452, 0.10318425916507966]","[0.11022289275347194, 0.0639279318404066, 0.0, 0.06027164547912846, 0.0753128170866291, 0.07239742893387478, 0.07921182422742576, 0.0811077325247451]","[0.12754620806584058, 0.0904893385970068, 0.06027164547912846, 0.0, 0.09197307907824777, 0.09829647380398336, 0.0967738750757649, 0.10281715735472328]","[0.11915454085478824, 0.09088882072439493, 0.0753128170866291, 0.09197307907824777, 0.0, 0.09085017337808428, 0.09598006696736133, 0.10645403647982718]","[0.11943077163585475, 0.09606322563692489, 0.07239742893387478, 0.09829647380398336, 0.09085017337808428, 0.0, 0.09535349867747243, 0.09910335738984577]","[0.11995610834062834, 0.0966800788604452, 0.07921182422742576, 0.0967738750757649, 0.09598006696736133, 0.09535349867747243, 0.0, 0.09524411295499521]","[0.11135553405919794, 0.10318425916507966, 0.0811077325247451, 0.10281715735472328, 0.10645403647982718, 0.09910335738984577, 0.09524411295499521, 0.0]"
"[0.0, 0.09220646868786948, 0.13254239238498858, 0.14120343565998514, 0.10474967188822333, 0.10577490196902728, 0.11497063377031508, 0.11879248569417446]","[0.09220646868786948, 0.0, 0.10594874220551735, 0.10968044040811178, 0.022182258353733032, 0.024617385498146706, 0.06573163382553157, 0.07896983602489381]","[0.13254239238498858, 0.10594874220551735, 0.0, 0.11352239793379616, 0.10980979970730834, 0.1140111298131451, 0.1222309247611534, 0.12766764488410953]","[0.14120343565998514, 0.10968044040811178, 0.11352239793379616, 0.0, 0.09921624399606721, 0.11121234322982643, 0.12156156955257924, 0.11519850726661968]","[0.10474967188822333, 0.022182258353733032, 0.10980979970730834, 0.09921624399606721, 0.0, 0.022020620946080174, 0.06659458951853328, 0.07946134932442267]","[0.10577490196902728, 0.024617385498146706, 0.1140111298131451, 0.11121234322982643, 0.022020620946080174, 0.0, 0.05240281957189466, 0.08342582746050263]","[0.11497063377031508, 0.06573163382553157, 0.1222309247611534, 0.12156156955257924, 0.06659458951853328, 0.05240281957189466, 0.0, 0.10095326193249693]","[0.11879248569417446, 0.07896983602489381, 0.12766764488410953, 0.11519850726661968, 0.07946134932442267, 0.08342582746050263, 0.10095326193249693, 0.0]"
"[0.0, 0.06436310237751718, 0.07854978057557427, 0.09268032960060936, 0.1307969250762527, 0.02560436999086696, 0.017711715258952796, 0.12736027674941766]","[0.06436310237751718, 0.0, 0.08962456472688685, 0.10771154035428653, 0.14270953517517984, 0.07576981761096409, 0.07542342932741214, 0.14430134646814508]","[0.07854978057557427, 0.08962456472688685, 0.0, 0.09804448706315291, 0.1378791005603228, 0.07798496699007386, 0.08110067114329396, 0.1504608770737016]","[0.09268032960060936, 0.10771154035428653, 0.09804448706315291, 0.0, 0.12378325696438318, 0.08905840184767243, 0.09439948450984031, 0.1485134915604572]","[0.1307969250762527, 0.14270953517517984, 0.1378791005603228, 0.12378325696438318, 0.0, 0.11522897790302643, 0.13057244893543335, 0.16795393698836333]","[0.02560436999086696, 0.07576981761096409, 0.07798496699007386, 0.08905840184767243, 0.11522897790302643, 0.0, 0.02472870863601633, 0.12783153473333875]","[0.017711715258952796, 0.07542342932741214, 0.08110067114329396, 0.09439948450984031, 0.13057244893543335, 0.02472870863601633, 0.0, 0.11770705729176793]","[0.12736027674941766, 0.14430134646814508, 0.1504608770737016, 0.1485134915604572, 0.16795393698836333, 0.12783153473333875, 0.11770705729176793, 0.0]"
"[0.0, 0.08944088871069275, 0.10765994019033844, 0.13821199044536644, 0.059229003259041194, 0.017984349878664964, 0.08305688594567101]","[0.08944088871069275, 0.0, 0.1136178016242658, 0.14180563189713594, 0.09500683257718028, 0.09253021302767568, 0.12049199677676684]","[0.10765994019033844, 0.1136178016242658, 0.0, 0.13432312263976134, 0.11192323289534319, 0.10759702898601482, 0.12362134621700814]","[0.13821199044536644, 0.14180563189713594, 0.13432312263976134, 0.0, 0.12150480431930945, 0.13661531026852583, 0.15544499750205626]","[0.059229003259041194, 0.09500683257718028, 0.11192323289534319, 0.12150480431930945, 0.0, 0.05565554464610998, 0.09927055178135298]","[0.017984349878664964, 0.09253021302767568, 0.10759702898601482, 0.13661531026852583, 0.05565554464610998, 0.0, 0.0715091283506379]","[0.08305688594567101, 0.12049199677676684, 0.12362134621700814, 0.15544499750205626, 0.09927055178135298, 0.0715091283506379, 0.0]"
"[0.0, 0.11358050520364879, 0.12250170181806513, 0.050880665095242215, 0.04900708927658465, 0.08208118974060385, 0.12170256794040987, 0.03353088453611506]","[0.11358050520364879, 0.0, 0.1365318745549163, 0.12675245219257694, 0.12859063577757088, 0.13586954157504083, 0.16371816894621408, 0.1211642687709725]","[0.12250170181806513, 0.1365318745549163, 0.0, 0.11354165603718942, 0.11966804923856997, 0.12124137845482423, 0.14925974217385668, 0.11911552254167125]","[0.050880665095242215, 0.12675245219257694, 0.11354165603718942, 0.0, 0.01817395109579534, 0.07083977800470262, 0.11852274735931562, 0.032334378163124525]","[0.04900708927658465, 0.12859063577757088, 0.11966804923856997, 0.01817395109579534, 0.0, 0.05981351641213416, 0.11923357473924912, 0.03220552540323454]","[0.08208118974060385, 0.13586954157504083, 0.12124137845482423, 0.07083977800470262, 0.05981351641213416, 0.0, 0.12874233479871272, 0.07425565086084711]","[0.12170256794040987, 0.16371816894621408, 0.14925974217385668, 0.11852274735931562, 0.11923357473924912, 0.12874233479871272, 0.0, 0.11238928390697567]","[0.03353088453611506, 0.1211642687709725, 0.11911552254167125, 0.032334378163124525, 0.03220552540323454, 0.07425565086084711, 0.11238928390697567, 0.0]"
