"[0.0, 0.08925865440693927, 0.17068300770375602, 0.12097922045654227, 0.018416399883136567, 0.022457306279518828, 0.06552333448452119, 0.014576946386719247]","[0.08925865440693927, 0.0, 0.16105036871556147, 0.14344569302297827, 0.0981554646911796, 0.09674520095392626, 0.11019752132053415, 0.09807534501368936]","[0.17068300770375602, 0.16105036871556147, 0.0, 0.17073702482522385, 0.17374156627762655, 0.1748564445799352, 0.1860521865849482, 0.1745879309820017]","[0.12097922045654227, 0.14344569302297827, 0.17073702482522385, 0.0, 0.12081617935292234, 0.12281596948432356, 0.1405033045805977, 0.1247104833339315]","[0.018416399883136567, 0.0981554646911796, 0.17374156627762655, 0.12081617935292234, 0.0, 0.017577023587816078, 0.068105797385425, 0.01307317236466737]","[0.022457306279518828, 0.09674520095392626, 0.1748564445799352, 0.12281596948432356, 0.017577023587816078, 0.0, 0.05352625562122945, 0.013891625636530902]","[0.06552333448452119, 0.11019752132053415, 0.1860521865849482, 0.1405033045805977, 0.068105797385425, 0.05352625562122945, 0.0, 0.05845052396445498]","[0.014576946386719247, 0.09807534501368936, 0.1745879309820017, 0.1247104833339315, 0.01307317236466737, 0.013891625636530902, 0.05845052396445498, 0.0]"
"[0.0, 0.12535765382839792, 0.13677257386681407, 0.1425879339158966, 0.12953835073273356, 0.15406088704340087, 0.12484274243590959, 0.11655606847701826]","[0.12535765382839792, 0.0, 0.0739817689771187, 0.07310480523757407, 0.018023863201671996, 0.10876513890947684, 0.022777618117693257, 0.09808181690078331]","[0.13677257386681407, 0.0739817689771187, 0.0, 0.0869688053143895, 0.07397420295497535, 0.1156288203217512, 0.07237885314300721, 0.10711581641507172]","[0.1425879339158966, 0.07310480523757407, 0.0869688053143895, 0.0, 0.07077196441457223, 0.1282639154436219, 0.07385029789601001, 0.11321256377593669]","[0.12953835073273356, 0.018023863201671996, 0.07397420295497535, 0.07077196441457223, 0.0, 0.10435879510148063, 0.025321449154317315, 0.10132546046379198]","[0.15406088704340087, 0.10876513890947684, 0.1156288203217512, 0.1282639154436219, 0.10435879510148063, 0.0, 0.09196047752854361, 0.13676053614967426]","[0.12484274243590959, 0.022777618117693257, 0.07237885314300721, 0.07385029789601001, 0.025321449154317315, 0.09196047752854361, 0.0, 0.09867222075223372]","[0.11655606847701826, 0.09808181690078331, 0.10711581641507172, 0.11321256377593669, 0.10132546046379198, 0.13676053614967426, 0.09867222075223372, 0.0]"
"[0.0, 0.07424199993833211, 0.015154967251941109, 0.06590403996040037, 0.11212975610990053, 0.0873880446823157, 0.12809059838562786, 0.016208418515636636]","[0.07424199993833211, 0.0, 0.0691335857586116, 0.09898435792307757, 0.12551717595996087, 0.11469864299344612, 0.14027330144321715, 0.07347400886173239]","[0.015154967251941109, 0.0691335857586116, 0.0, 0.06514505187677705, 0.11106833651658815, 0.0882221895466124, 0.13233353233042439, 0.02135923410855264]","[0.06590403996040037, 0.09898435792307757, 0.06514505187677705, 0.0, 0.08682326712443812, 0.08418558612777118, 0.13965575056205157, 0.06422315847865755]","[0.11212975610990053, 0.12551717595996087, 0.11106833651658815, 0.08682326712443812, 0.0, 0.11866595051139103, 0.1652924532186761, 0.11141992168839099]","[0.0873880446823157, 0.11469864299344612, 0.0882221895466124, 0.08418558612777118, 0.11866595051139103, 0.0, 0.1149858535031651, 0.0816444899623364]","[0.12809059838562786, 0.14027330144321715, 0.13233353233042439, 0.13965575056205157, 0.1652924532186761, 0.1149858535031651, 0.0, 0.1234691975295184]","[0.016208418515636636, 0.07347400886173239, 0.02135923410855264, 0.06422315847865755, 0.11141992168839099, 0.0816444899623364, 0.1234691975295184, 0.0]"
"[0.0, 0.08494219142612837, 0.10218507300014372, 0.09312575942139238, 0.11389017880261836, 0.07563541120651282, 0.10406340950830174, 0.07597742331383937]","[0.08494219142612837, 0.0, 0.09924952938401398, 0.08895259137042623, 0.11627194447374047, 0.08337647175707076, 0.1063923495086175, 0.08309898510727262]","[0.10218507300014372, 0.09924952938401398, 0.0, 0.074601046704645, 0.11536204808024957, 0.09249623194596447, 0.11487792560559014, 0.09611012277834974]","[0.09312575942139238, 0.08895259137042623, 0.074601046704645, 0.0, 0.09211369324006324, 0.0718297014788764, 0.09928044982435225, 0.07495921912995587]","[0.11389017880261836, 0.11627194447374047, 0.11536204808024957, 0.09211369324006324, 0.0, 0.07309115620595634, 0.10521156412945143, 0.09075800455627067]","[0.07563541120651282, 0.08337647175707076, 0.09249623194596447, 0.0718297014788764, 0.07309115620595634, 0.0, 0.06776383820440811, 0.023126907797790607]","[0.10406340950830174, 0.1063923495086175, 0.11487792560559014, 0.09928044982435225, 0.10521156412945143, 0.06776383820440811, 0.0, 0.06274205594653719]","[0.07597742331383937, 0.08309898510727262, 0.09611012277834974, 0.07495921912995587, 0.09075800455627067, 0.023126907797790607, 0.06274205594653719, 0.0]"
"[0.0, 0.09956897745664649, 0.1284027894589055, 0.1141736236253319, 0.13686912674230592, 0.1267558020138074, 0.11419776978685102, 0.10819393560564]","[0.09956897745664649, 0.0, 0.08932043856055061, 0.06224455734923959, 0.09079896407366031, 0.06091181937409446, 0.02535129392001043, 0.04542228893712165]","[0.1284027894589055, 0.08932043856055061, 0.0, 0.08250049982424744, 0.1144471032725207, 0.10020976191896894, 0.0968841722336798, 0.1026023360075089]","[0.1141736236253319, 0.06224455734923959, 0.08250049982424744, 0.0, 0.07098846846100118, 0.08171724711188842, 0.06375617996098895, 0.07687295708629954]","[0.13686912674230592, 0.09079896407366031, 0.1144471032725207, 0.07098846846100118, 0.0, 0.09139806438001064, 0.0867934480314787, 0.09597552331378621]","[0.1267558020138074, 0.06091181937409446, 0.10020976191896894, 0.08171724711188842, 0.09139806438001064, 0.0, 0.053856942767704676, 0.06105914943310998]","[0.11419776978685102, 0.02535129392001043, 0.0968841722336798, 0.06375617996098895, 0.0867934480314787, 0.053856942767704676, 0.0, 0.03291600026401752]","[0.10819393560564, 0.04542228893712165, 0.1026023360075089, 0.07687295708629954, 0.09597552331378621, 0.06105914943310998, 0.03291600026401752, 0.0]"
"[0.0, 0.06905600335024606, 0.07999127919284586, 0.1491226677366118, 0.16144418406564753, 0.07908244589961282, 0.09530878008525807, 0.07836779153753938]","[0.06905600335024606, 0.0, 0.015416269511430512, 0.13019078402515052, 0.14890926048256586, 0.024697018912624324, 0.07787746916919137, 0.06221128602028359]","[0.07999127919284586, 0.015416269511430512, 0.0, 0.12432964926146722, 0.1450591280722394, 0.018657526487014034, 0.0798213078518075, 0.06392449755198804]","[0.1491226677366118, 0.13019078402515052, 0.12432964926146722, 0.0, 0.1603967763152738, 0.1262634465761425, 0.14081539605556576, 0.12799877629479803]","[0.16144418406564753, 0.14890926048256586, 0.1450591280722394, 0.1603967763152738, 0.0, 0.13369320841677726, 0.16831274308681096, 0.15626903252945074]","[0.07908244589961282, 0.024697018912624324, 0.018657526487014034, 0.1262634465761425, 0.13369320841677726, 0.0, 0.07777295595259266, 0.06539851062092822]","[0.09530878008525807, 0.07787746916919137, 0.0798213078518075, 0.14081539605556576, 0.16831274308681096, 0.07777295595259266, 0.0, 0.06220643426443168]","[0.07836779153753938, 0.06221128602028359, 0.06392449755198804, 0.12799877629479803, 0.15626903252945074, 0.06539851062092822, 0.06220643426443168, 0.0]"
"[0.0, 0.07652755698648808, 0.0793403299973761, 0.15125728827476093, 0.10924349374984876, 0.11779155586018064, 0.09084574013020358, 0.08022584177324232]","[0.07652755698648808, 0.0, 0.05277423571208012, 0.1324524611191493, 0.0958085811779172, 0.11374232195288038, 0.07856784439953476, 0.06291689322920443]","[0.0793403299973761, 0.05277423571208012, 0.0, 0.1258686452344331, 0.08123725700376817, 0.10791062597342849, 0.051267630460420224, 0.019648207515706565]","[0.15125728827476093, 0.1324524611191493, 0.1258686452344331, 0.0, 0.156201925216332, 0.16152972066331703, 0.11434156910716241, 0.13061551917616626]","[0.10924349374984876, 0.0958085811779172, 0.08123725700376817, 0.156201925216332, 0.0, 0.11328819020603224, 0.09387457533630106, 0.0834066706794165]","[0.11779155586018064, 0.11374232195288038, 0.10791062597342849, 0.16152972066331703, 0.11328819020603224, 0.0, 0.09928587395689283, 0.11084704638520973]","[0.09084574013020358, 0.07856784439953476, 0.051267630460420224, 0.11434156910716241, 0.09387457533630106, 0.09928587395689283, 0.0, 0.05120697505396367]","[0.08022584177324232, 0.06291689322920443, 0.019648207515706565, 0.13061551917616626, 0.0834066706794165, 0.11084704638520973, 0.05120697505396367, 0.0]"
"[0.0, 0.10766827786764668, 0.09178435995921476, 0.058984734958962504, 0.0615288516044869, 0.02910545481676983, 0.06024170302735955, 0.09581792574291931]","[0.10766827786764668, 0.0, 0.12520558529023354, 0.10944098822081152, 0.11809719666053527, 0.11631239699713085, 0.1239727476360975, 0.1464682853679129]","[0.09178435995921476, 0.12520558529023354, 0.0, 0.07424506907102221, 0.1059657023709249, 0.09000459506178063, 0.11121901526369615, 0.1411172310201654]","[0.058984734958962504, 0.10944098822081152, 0.07424506907102221, 0.0, 0.06617230930724027, 0.05361277897345731, 0.08298457664917887, 0.12474635154028511]","[0.0615288516044869, 0.11809719666053527, 0.1059657023709249, 0.06617230930724027, 0.0, 0.05951417246590816, 0.07372728121948277, 0.11791889991423178]","[0.02910545481676983, 0.11631239699713085, 0.09000459506178063, 0.05361277897345731, 0.05951417246590816, 0.0, 0.06485192797853306, 0.1144547864983975]","[0.06024170302735955, 0.1239727476360975, 0.11121901526369615, 0.08298457664917887, 0.07372728121948277, 0.06485192797853306, 0.0, 0.1003564764775218]","[0.09581792574291931, 0.1464682853679129, 0.1411172310201654, 0.12474635154028511, 0.11791889991423178, 0.1144547864983975, 0.1003564764775218, 0.0]"
